MONTHYEAR,PLAN_NAME,Customer,REGION,PRODUCT,NET REVENUE,Gross Revenue,Discount percentage ,
2021-10-01,Medium Business,Cust23145,EU,PD1,71,97,,
2021-11-01,Medium Business,Cust13926,UK,PD4,47.6,48,,
2021-07-01,SMALL BUSINESS,Cust23149,UK,PD1,20.4,24,,
2021-12-01,Medium Business,Cust23151,EU,PD1,172.5075,208,,
2021-10-01,SMALL BUSINESS,Cust23152,APJ,PD4,46.8,109,,
2021-10-01,SMALL BUSINESS,Cust23153,NA,PD4,18,18,,
2021-04-01,SMALL BUSINESS,Cust23154,EU,PD1,190,257,,
2022-03-01,SMALL BUSINESS,Cust23155,NA,PD1,54,70,,
2022-01-01,Medium Business,Cust23156,NA,PD1,71,71,,
2022-03-01,LARGE BUSINESS,Cust23159,NA,PD1,95,136,,
2021-02-01,SMALL BUSINESS,Cust23160,NA,PD2,75,106,,
2021-04-01,LARGE BUSINESS,Cust23161,EU,PD1,375,493,,
2021-11-01,SMALL BUSINESS,Cust23162,EU,PD4,55.35,79,,
2022-03-01,Medium Business,Cust23163,UK,PD4,38.86,39,,
2022-02-01,Medium Business,Cust23164,OTHERS,PD2,131,154,,
2021-11-01,Medium Business,Cust23168,APJ,PD4,51.48,51,,
2021-12-01,SMALL BUSINESS,Cust23169,EU,PD1,18.45,46,,
2022-02-01,SMALL BUSINESS,Cust3484,NA,PD1,45,50,,
2022-02-01,Medium Business,Cust23170,NA,PD1,590,728,,
2022-03-01,Medium Business,Cust23172,NA,PD6,159,209,,
2021-05-01,LARGE BUSINESS,Cust23173,EU,PD1,6584.99,6585,,
2021-07-01,Medium Business,Cust23174,APJ,PD1,90,105,,
2021-10-01,SMALL BUSINESS,Cust23176,NA,PD4,23,26,,
2022-02-01,Medium Business,Cust23177,OTHERS,PD2,123.28,123,,
2021-10-01,SMALL BUSINESS,Cust23178,OTHERS,PD2,107,107,,
2021-07-01,SMALL BUSINESS,Cust18083,MEA,PD4,45,58,,
2021-05-01,SMALL BUSINESS,Cust23180,APJ,PD1,38,47,,
2021-01-01,Medium Business,Cust23181,NA,PD3,35,80,,
2021-08-01,Medium Business,Cust23182,EU,PD1,86.1,108,,
2021-02-01,SMALL BUSINESS,Cust23184,NA,PD5,38,49,,
2021-03-01,SMALL BUSINESS,Cust23187,NA,PD7,19,26,,
2021-01-01,LARGE BUSINESS,Cust23188,NA,PD1,227,227,,
2021-03-01,LARGE BUSINESS,Cust23190,NA,PD1,245,245,,
2021-02-01,Medium Business,Cust23192,EU,PD1,110.7,111,,
2021-10-01,SMALL BUSINESS,Cust23193,EU,PD1,172.2,172,,
2021-12-01,LARGE BUSINESS,Cust18759,NA,PD3,110,110,,
2021-02-01,SMALL BUSINESS,Cust23198,UK,PD1,29.92,30,,
2021-12-01,Medium Business,Cust23199,APJ,PD1,177,361,,
2022-01-01,LARGE BUSINESS,Cust13977,INDIA,PD1,99,119,,
2022-03-01,LARGE BUSINESS,Cust23200,NA,PD7,166,218,,
2021-06-01,Medium Business,Cust23201,EU,PD1,55.35,68,,
2021-11-01,SMALL BUSINESS,Cust23202,INDIA,PD6,20.50632,21,,
2021-04-01,SMALL BUSINESS,Cust23203,UK,PD1,38,52,,
2021-01-01,Medium Business,Cust23205,EU,PD1,55.35,70,,
2022-03-01,SMALL BUSINESS,Cust23206,MEA,PD5,72,101,,
2021-12-01,SMALL BUSINESS,Cust23208,APJ,PD1,348,452,,
2021-09-01,SMALL BUSINESS,Cust23211,APJ,PD1,23.4,23,,
2021-11-01,SMALL BUSINESS,Cust23213,APJ,PD1,15,17,,
2021-08-01,SMALL BUSINESS,Cust23216,INDIA,PD1,18,22,,
2021-06-01,Medium Business,Cust23221,NA,PD6,1446.25,1928,,
2021-07-01,SMALL BUSINESS,Cust23222,APJ,PD7,15,18,,
2022-02-01,Medium Business,Cust23223,APJ,PD4,164.05,443,,
2022-03-01,SMALL BUSINESS,Cust23224,NA,PD4,54,61,,
2021-07-01,LARGE BUSINESS,Cust23225,EU,PD1,424.35,505,,
2021-09-01,SMALL BUSINESS,Cust4826,APJ,PD1,117,293,,
2021-08-01,SMALL BUSINESS,Cust23228,INDIA,PD1,32.81832,38,,
2021-03-01,SMALL BUSINESS,Cust23229,NA,PD1,38,48,,
2021-03-01,LARGE BUSINESS,Cust23230,NA,PD6,15300.07,17586,,
2021-10-01,SMALL BUSINESS,Cust23231,NA,PD6,392,503,,
2021-06-01,SMALL BUSINESS,Cust23233,MEA,PD6,95,95,,
2021-05-01,SMALL BUSINESS,Cust23237,NA,PD4,29,38,,
2021-04-01,SMALL BUSINESS,Cust23238,EU,PD6,442.8,521,,
2021-03-01,SMALL BUSINESS,Cust23239,NA,PD1,38,44,,
2021-03-01,LARGE BUSINESS,Cust23240,NA,PD6,4905,4905,,
2021-10-01,Medium Business,Cust23241,APJ,PD1,53.82,70,,
2021-01-01,Medium Business,Cust10842,NA,PD4,236,278,,
2021-02-01,LARGE BUSINESS,Cust23246,NA,PD6,654,1595,,
2021-02-01,SMALL BUSINESS,Cust23247,NA,PD4,29,29,,
2021-04-01,SMALL BUSINESS,Cust22507,APJ,PD3,38,51,,
2021-09-01,SMALL BUSINESS,Cust23248,EU,PD1,324,324,,
2021-10-01,Medium Business,Cust23249,UK,PD1,285.6,286,,
2021-03-01,SMALL BUSINESS,Cust23251,NA,PD1,15.2,17,,
2021-04-01,LARGE BUSINESS,Cust23252,EU,PD1,99,119,,
2022-03-01,SMALL BUSINESS,Cust23253,NA,PD1,87,123,,
2021-03-01,Medium Business,Cust23254,INDIA,PD5,76.58064,77,,
2022-01-01,Medium Business,Cust23255,NA,PD1,142,171,,
2021-04-01,SMALL BUSINESS,Cust23256,INDIA,PD1,57.41496,68,,
2021-06-01,LARGE BUSINESS,Cust23257,EU,PD5,95.94,137,,
2021-02-01,SMALL BUSINESS,Cust23260,UK,PD1,44.88,50,,
2021-05-01,Medium Business,Cust23261,NA,PD4,425,599,,
2021-09-01,Medium Business,Cust23262,NA,PD6,395.71,550,,
2021-04-01,Medium Business,Cust3573,NA,PD5,1521,2142,,
2022-02-01,SMALL BUSINESS,Cust23266,NA,PD1,94.5,95,,
2021-05-01,SMALL BUSINESS,Cust3660,MEA,PD1,19,26,,
2021-11-01,SMALL BUSINESS,Cust23267,EU,PD1,204,204,,
2021-09-01,SMALL BUSINESS,Cust23269,NA,PD4,18,20,,
2022-03-01,LARGE BUSINESS,Cust23270,MEA,PD5,177,239,,
2021-01-01,LARGE BUSINESS,Cust23271,APJ,PD5,113.1,159,,
2022-02-01,SMALL BUSINESS,Cust23273,UK,PD6,203.68,240,,
2021-09-01,SMALL BUSINESS,Cust23274,NA,PD1,13.5,14,,
2021-08-01,Medium Business,Cust23275,MEA,PD4,188,209,,
2021-09-01,Medium Business,Cust23278,MEA,PD4,93,93,,
2021-12-01,SMALL BUSINESS,Cust23280,UK,PD4,55.08,69,,
2021-05-01,SMALL BUSINESS,Cust23281,NA,PD1,19,23,,
2021-12-01,SMALL BUSINESS,Cust3590,OTHERS,PD1,54,69,,
2021-06-01,SMALL BUSINESS,Cust14051,EU,PD1,19,27,,
2021-01-01,SMALL BUSINESS,Cust3593,UK,PD7,38,50,,
2021-02-01,SMALL BUSINESS,Cust23284,EU,PD1,18.45,22,,
2021-12-01,SMALL BUSINESS,Cust23285,UK,PD1,153,170,,
2021-07-01,LARGE BUSINESS,Cust8918,NA,PD1,69,87,,
2021-07-01,Medium Business,Cust23286,INDIA,PD1,54.6925032,55,,
2021-10-01,Medium Business,Cust23288,MEA,PD5,35.1,80,,
2021-06-01,SMALL BUSINESS,Cust23290,APJ,PD7,37.44,44,,
2021-07-01,SMALL BUSINESS,Cust3597,NA,PD6,58,75,,
2021-11-01,Medium Business,Cust23291,NA,PD6,739.2,860,,
2021-01-01,Medium Business,Cust14061,NA,PD5,29,33,,
2022-03-01,SMALL BUSINESS,Cust23293,EU,PD5,44.46,44,,
2021-04-01,LARGE BUSINESS,Cust23295,MEA,PD1,1016.75,1320,,
2022-02-01,Medium Business,Cust23296,OTHERS,PD2,128.6775,143,,
2021-04-01,LARGE BUSINESS,Cust23297,EU,PD1,166.05,213,,
2021-10-01,Medium Business,Cust23298,APJ,PD1,885,1006,,
2021-08-01,SMALL BUSINESS,Cust23299,NA,PD6,940.8,1107,,
2021-06-01,SMALL BUSINESS,Cust23300,NA,PD6,34,44,,
2021-02-01,Medium Business,Cust6224,NA,PD5,252.79703,361,,
2021-09-01,Medium Business,Cust23301,NA,PD6,555.6,1587,,
2021-05-01,SMALL BUSINESS,Cust23302,EU,PD4,210,239,,
2021-10-01,SMALL BUSINESS,Cust18844,NA,PD4,35,47,,
2021-11-01,Medium Business,Cust3614,INDIA,PD1,637,637,,
2021-11-01,LARGE BUSINESS,Cust8932,OTHERS,PD2,250,658,,
2021-03-01,Medium Business,Cust23303,NA,PD4,85,99,,
2021-10-01,SMALL BUSINESS,Cust23305,EU,PD4,18,18,,
2021-03-01,SMALL BUSINESS,Cust23306,NA,PD5,30,40,,
2021-01-01,Medium Business,Cust23307,MEA,PD4,241.5,281,,
2021-08-01,Medium Business,Cust23308,MEA,PD1,98,134,,
2021-10-01,SMALL BUSINESS,Cust23309,EU,PD1,54,64,,
2021-03-01,SMALL BUSINESS,Cust23311,MEA,PD2,67,91,,
2021-06-01,SMALL BUSINESS,Cust8944,INDIA,PD1,38.27664,54,,
2021-08-01,Medium Business,Cust23313,EU,PD7,94,108,,
2021-09-01,SMALL BUSINESS,Cust23314,NA,PD1,36,36,,
2021-02-01,SMALL BUSINESS,Cust23315,MEA,PD6,59,82,,
2022-02-01,SMALL BUSINESS,Cust8947,EU,PD1,54,70,,
2022-03-01,SMALL BUSINESS,Cust23200,NA,PD1,36,42,,
2022-01-01,SMALL BUSINESS,Cust21406,INDIA,PD5,15.4671,15,,
2022-01-01,SMALL BUSINESS,Cust23316,INDIA,PD4,176.32494,248,,
2022-03-01,LARGE BUSINESS,Cust23317,NA,PD6,1368,1368,,
2021-03-01,SMALL BUSINESS,Cust23318,EU,PD1,23.37,30,,
2021-11-01,Medium Business,Cust23319,NA,PD1,177,177,,
2022-03-01,SMALL BUSINESS,Cust23320,NA,PD4,30,39,,
2022-01-01,Medium Business,Cust23322,INDIA,PD1,44.1,57,,
2021-11-01,SMALL BUSINESS,Cust23323,APJ,PD1,72,99,,
2022-03-01,SMALL BUSINESS,Cust23324,APJ,PD6,385.344,453,,
2022-02-01,Medium Business,Cust23325,INDIA,PD1,256,291,,
2022-03-01,SMALL BUSINESS,Cust13909,EU,PD5,38,44,,
2021-09-01,Medium Business,Cust23328,NA,PD6,151.3,303,,
2021-02-01,LARGE BUSINESS,Cust23329,NA,PD1,125,140,,
2022-01-01,SMALL BUSINESS,Cust23332,INDIA,PD1,15.4671,15,,
2021-10-01,LARGE BUSINESS,Cust23333,EU,PD1,97.17,249,,
2021-06-01,Medium Business,Cust23334,APJ,PD6,240.3,668,,
2021-12-01,SMALL BUSINESS,Cust23336,APJ,PD1,36,40,,
2021-04-01,LARGE BUSINESS,Cust23338,EU,PD1,254.61,293,,
2022-03-01,LARGE BUSINESS,Cust297,NA,PD4,69,99,,
2021-05-01,SMALL BUSINESS,Cust23340,INDIA,PD1,13.66632,16,,
2021-03-01,LARGE BUSINESS,Cust8866,EU,PD3,559.65,560,,
2021-05-01,SMALL BUSINESS,Cust23345,EU,PD1,81.6,82,,
2022-01-01,Medium Business,Cust23348,OTHERS,PD2,143,177,,
2021-05-01,SMALL BUSINESS,Cust8923,NA,PD1,38,43,,
2021-02-01,SMALL BUSINESS,Cust14080,EU,PD1,15,18,,
2022-02-01,LARGE BUSINESS,Cust23351,INDIA,PD5,110.9142,111,,
2021-06-01,LARGE BUSINESS,Cust23353,INDIA,PD1,294.02,613,,
2021-07-01,SMALL BUSINESS,Cust23354,EU,PD1,18.45,21,,
2021-06-01,Medium Business,Cust23355,OTHERS,PD2,123.10632,150,,
2022-03-01,Medium Business,Cust23358,NA,PD6,327,363,,
2021-08-01,SMALL BUSINESS,Cust23361,UK,PD1,102,144,,
2021-03-01,SMALL BUSINESS,Cust23363,NA,PD1,15,15,,
2021-03-01,SMALL BUSINESS,Cust23364,APJ,PD1,19,19,,
2021-11-01,Medium Business,Cust18912,APJ,PD6,1691,1966,,
2021-08-01,Medium Business,Cust23368,NA,PD6,534,607,,
2021-08-01,SMALL BUSINESS,Cust23369,EU,PD1,18.45,25,,
2021-06-01,Medium Business,Cust8366,NA,PD4,414,487,,
2021-12-01,Medium Business,Cust23372,UK,PD6,361.76,482,,
2021-10-01,SMALL BUSINESS,Cust23373,APJ,PD1,15,15,,
2022-03-01,SMALL BUSINESS,Cust23374,NA,PD6,49,120,,
2021-07-01,Medium Business,Cust23377,NA,PD6,720,809,,
2021-04-01,LARGE BUSINESS,Cust23379,EU,PD1,98,111,,
2022-02-01,SMALL BUSINESS,Cust23380,NA,PD4,15,21,,
2022-01-01,Medium Business,Cust23382,NA,PD1,49,60,,
2021-08-01,SMALL BUSINESS,Cust16411,EU,PD6,30.75,40,,
2022-01-01,Medium Business,Cust23384,MEA,PD1,497,637,,
2021-03-01,SMALL BUSINESS,Cust23387,EU,PD1,15,15,,
2021-02-01,LARGE BUSINESS,Cust3729,NA,PD3,165,183,,
2021-05-01,SMALL BUSINESS,Cust23389,EU,PD1,76,85,,
2021-02-01,SMALL BUSINESS,Cust23390,NA,PD1,76,93,,
2021-05-01,Medium Business,Cust23391,APJ,PD1,105,133,,
2021-03-01,SMALL BUSINESS,Cust23392,EU,PD1,38,47,,
2021-09-01,SMALL BUSINESS,Cust23393,EU,PD1,71.34,89,,
2021-03-01,SMALL BUSINESS,Cust23397,NA,PD6,59,59,,
2022-02-01,SMALL BUSINESS,Cust23398,NA,PD1,30,35,,
2021-12-01,LARGE BUSINESS,Cust23399,NA,PD5,98,110,,
2021-07-01,Medium Business,Cust23400,EU,PD6,369,499,,
2021-07-01,Medium Business,Cust23402,NA,PD1,224,277,,
2021-10-01,Medium Business,Cust23403,NA,PD1,176.4,213,,
2021-11-01,Medium Business,Cust23405,APJ,PD5,94,94,,
2021-01-01,Medium Business,Cust23408,NA,PD4,106.2,106,,
2021-03-01,Medium Business,Cust23409,EU,PD6,116.85,117,,
2021-05-01,LARGE BUSINESS,Cust23412,INDIA,PD5,285,285,,
2021-09-01,SMALL BUSINESS,Cust23415,EU,PD1,73.8,97,,
2021-12-01,SMALL BUSINESS,Cust23418,UK,PD5,54,68,,
2021-09-01,Medium Business,Cust23419,APJ,PD1,107.64,108,,
2021-08-01,SMALL BUSINESS,Cust23420,EU,PD4,18.45,53,,
2022-02-01,Medium Business,Cust23421,NA,PD6,1200.01,2400,,
2021-08-01,Medium Business,Cust23422,NA,PD6,498.4,498,,
2021-11-01,Medium Business,Cust21873,MEA,PD2,150.3,150,,
2022-03-01,SMALL BUSINESS,Cust23426,EU,PD1,102.6,103,,
2021-12-01,SMALL BUSINESS,Cust14220,EU,PD1,35,48,,
2021-12-01,Medium Business,Cust23429,NA,PD1,752.25,752,,
2022-01-01,SMALL BUSINESS,Cust23431,NA,PD4,18,22,,
2021-10-01,SMALL BUSINESS,Cust3781,UK,PD1,61.2,74,,
2022-01-01,SMALL BUSINESS,Cust23433,INDIA,PD2,109,109,,
2021-10-01,SMALL BUSINESS,Cust23434,EU,PD4,110.7,111,,
2021-11-01,LARGE BUSINESS,Cust23435,NA,PD6,1794.4,2361,,
2022-03-01,SMALL BUSINESS,Cust23436,EU,PD1,36,41,,
2021-03-01,SMALL BUSINESS,Cust23437,NA,PD4,139.2,162,,
2021-10-01,SMALL BUSINESS,Cust23438,APJ,PD1,58,66,,
2022-03-01,SMALL BUSINESS,Cust15365,NA,PD6,49,61,,
2021-05-01,SMALL BUSINESS,Cust23440,EU,PD1,38,54,,
2021-04-01,Medium Business,Cust23441,OTHERS,PD2,136.78632,155,,
2021-08-01,Medium Business,Cust23442,EU,PD4,207,296,,
2021-09-01,LARGE BUSINESS,Cust23443,NA,PD6,3250,3693,,
2021-06-01,SMALL BUSINESS,Cust23447,APJ,PD4,29,67,,
2021-04-01,Medium Business,Cust22608,EU,PD7,95.94,135,,
2021-10-01,SMALL BUSINESS,Cust23449,APJ,PD5,988.65,1318,,
2021-06-01,LARGE BUSINESS,Cust23450,APJ,PD6,887.016,1056,,
2021-10-01,SMALL BUSINESS,Cust23452,NA,PD1,18,21,,
2021-05-01,SMALL BUSINESS,Cust23453,OTHERS,PD8,11,13,,
2021-06-01,LARGE BUSINESS,Cust23455,NA,PD5,552,552,,
2021-07-01,Medium Business,Cust3808,NA,PD4,69,69,,
2021-03-01,LARGE BUSINESS,Cust23456,APJ,PD5,88.92,99,,
2022-02-01,Medium Business,Cust23458,APJ,PD1,171.1,407,,
2021-02-01,Medium Business,Cust9328,INDIA,PD5,38.29032,81,,
2022-02-01,SMALL BUSINESS,Cust23463,EU,PD1,51.3,51,,
2021-08-01,SMALL BUSINESS,Cust23464,OTHERS,PD2,80.24,187,,
2021-01-01,Medium Business,Cust23466,NA,PD6,89,247,,
2021-05-01,SMALL BUSINESS,Cust23469,EU,PD4,73.185,95,,
2022-01-01,SMALL BUSINESS,Cust23470,EU,PD1,36,36,,
2021-11-01,SMALL BUSINESS,Cust19189,EU,PD4,28.29,60,,
2021-11-01,Medium Business,Cust23478,EU,PD1,539,539,,
2021-02-01,SMALL BUSINESS,Cust23479,UK,PD1,59.84,73,,
2021-02-01,Medium Business,Cust23482,NA,PD1,175,243,,
2021-11-01,Medium Business,Cust23483,EU,PD5,142.8,196,,
2022-01-01,Medium Business,Cust23485,APJ,PD6,272.92,273,,
2022-02-01,SMALL BUSINESS,Cust23487,NA,PD4,36,42,,
2021-02-01,SMALL BUSINESS,Cust23488,EU,PD1,81.18,101,,
2021-07-01,LARGE BUSINESS,Cust16657,NA,PD3,455,583,,
2021-09-01,SMALL BUSINESS,Cust23491,INDIA,PD1,162,368,,
2021-08-01,SMALL BUSINESS,Cust23492,MEA,PD1,30,38,,
2021-12-01,SMALL BUSINESS,Cust23496,EU,PD6,615,820,,
2022-02-01,SMALL BUSINESS,Cust23497,NA,PD1,126,126,,
2021-06-01,Medium Business,Cust23498,APJ,PD1,253.5,685,,
2022-02-01,LARGE BUSINESS,Cust23499,APJ,PD5,90,115,,
2021-01-01,LARGE BUSINESS,Cust23500,MEA,PD1,69,138,,
2021-12-01,Medium Business,Cust11750,NA,PD1,294,327,,
2021-04-01,Medium Business,Cust10295,INDIA,PD3,140,194,,
2022-01-01,SMALL BUSINESS,Cust23502,EU,PD1,20.52,25,,
2021-02-01,SMALL BUSINESS,Cust23503,NA,PD6,99.2,114,,
2021-11-01,Medium Business,Cust23504,EU,PD1,354,1011,,
2021-09-01,SMALL BUSINESS,Cust23506,NA,PD1,18,25,,
2021-07-01,LARGE BUSINESS,Cust23508,APJ,PD1,670.059,670,,
2021-06-01,SMALL BUSINESS,Cust23509,NA,PD4,29,35,,
2022-02-01,Medium Business,Cust23510,UK,PD1,375.2,417,,
2021-05-01,LARGE BUSINESS,Cust23511,MEA,PD1,117.6,135,,
2021-12-01,Medium Business,Cust23512,NA,PD6,373.8,473,,
2021-12-01,SMALL BUSINESS,Cust23514,NA,PD1,54,62,,
2021-05-01,Medium Business,Cust23515,EU,PD6,716.72,833,,
2021-09-01,SMALL BUSINESS,Cust23516,NA,PD1,180,222,,
2021-02-01,Medium Business,Cust14318,OTHERS,PD7,39,89,,
2021-05-01,LARGE BUSINESS,Cust23519,EU,PD4,875,1054,,
2021-01-01,Medium Business,Cust23520,EU,PD1,172.2,366,,
2021-08-01,Medium Business,Cust19084,NA,PD4,51.48,51,,
2021-10-01,Medium Business,Cust23521,EU,PD1,118,131,,
2021-08-01,SMALL BUSINESS,Cust23524,EU,PD1,36,44,,
2021-05-01,Medium Business,Cust23525,EU,PD6,190.4,190,,
2021-04-01,SMALL BUSINESS,Cust19088,NA,PD5,19,21,,
2021-02-01,SMALL BUSINESS,Cust23527,EU,PD1,23.37,27,,
2021-09-01,Medium Business,Cust23532,EU,PD6,1285,1713,,
2022-02-01,Medium Business,Cust23533,NA,PD1,354,354,,
2022-01-01,SMALL BUSINESS,Cust23538,NA,PD1,120,158,,
2021-09-01,SMALL BUSINESS,Cust23540,UK,PD4,102,121,,
2022-02-01,Medium Business,Cust23541,NA,PD6,2225,2890,,
2021-09-01,Medium Business,Cust14506,EU,PD4,296.43,357,,
2021-11-01,SMALL BUSINESS,Cust23542,NA,PD1,150,150,,
2022-01-01,Medium Business,Cust19104,NA,PD1,59,71,,
2021-04-01,Medium Business,Cust15848,EU,PD4,85,100,,
2022-03-01,Medium Business,Cust23543,EU,PD1,98,111,,
2021-06-01,LARGE BUSINESS,Cust148,EU,PD1,69,79,,
2021-10-01,SMALL BUSINESS,Cust23545,EU,PD6,36.9,47,,
2021-11-01,SMALL BUSINESS,Cust23549,NA,PD6,177.6,240,,
2022-03-01,Medium Business,Cust23554,UK,PD6,484,556,,
2021-04-01,SMALL BUSINESS,Cust14364,INDIA,PD1,76.55328,103,,
2021-09-01,LARGE BUSINESS,Cust23555,NA,PD1,95,112,,
2021-03-01,Medium Business,Cust23556,NA,PD1,45,53,,
2021-04-01,LARGE BUSINESS,Cust23557,EU,PD1,361.62,904,,
2021-09-01,SMALL BUSINESS,Cust3995,NA,PD1,36,36,,
2021-03-01,LARGE BUSINESS,Cust23559,INDIA,PD1,69,97,,
2021-05-01,LARGE BUSINESS,Cust23560,NA,PD1,499.8,1087,,
2021-01-01,SMALL BUSINESS,Cust23561,OTHERS,PD1,17,19,,
2021-04-01,SMALL BUSINESS,Cust3918,NA,PD4,87,102,,
2021-02-01,Medium Business,Cust9255,NA,PD3,35,35,,
2021-10-01,SMALL BUSINESS,Cust9258,UK,PD5,20.4,28,,
2021-07-01,SMALL BUSINESS,Cust23563,EU,PD6,61.5,146,,
2021-10-01,Medium Business,Cust23565,UK,PD1,1115.5536,1282,,
2021-09-01,Medium Business,Cust23566,EU,PD1,118,149,,
2021-12-01,SMALL BUSINESS,Cust23567,EU,PD4,108,140,,
2021-07-01,LARGE BUSINESS,Cust23568,APJ,PD5,813.95,904,,
2021-11-01,Medium Business,Cust23569,UK,PD4,749.36,1921,,
2021-01-01,Medium Business,Cust14380,EU,PD6,233.7,325,,
2021-11-01,Medium Business,Cust23571,NA,PD1,318.6,455,,
2022-02-01,SMALL BUSINESS,Cust23574,EU,PD1,34.2,34,,
2021-01-01,LARGE BUSINESS,Cust23575,NA,PD1,196,218,,
2021-05-01,LARGE BUSINESS,Cust6685,OTHERS,PD1,69,82,,
2021-02-01,LARGE BUSINESS,Cust23576,NA,PD1,69,69,,
2021-03-01,SMALL BUSINESS,Cust23577,INDIA,PD1,210.52152,439,,
2022-02-01,SMALL BUSINESS,Cust23578,NA,PD5,18,24,,
2021-11-01,LARGE BUSINESS,Cust23579,EU,PD4,166,415,,
2022-02-01,SMALL BUSINESS,Cust23580,NA,PD1,216,432,,
2022-02-01,SMALL BUSINESS,Cust23581,NA,PD5,18,22,,
2022-03-01,Medium Business,Cust23582,EU,PD1,294,363,,
2022-01-01,Medium Business,Cust23584,MEA,PD1,377.6,899,,
2021-02-01,Medium Business,Cust23585,APJ,PD1,45,61,,
2022-02-01,Medium Business,Cust23586,NA,PD1,1180,1686,,
2021-03-01,LARGE BUSINESS,Cust23587,NA,PD5,217,258,,
2021-11-01,SMALL BUSINESS,Cust23588,EU,PD1,88.56,109,,
2021-12-01,SMALL BUSINESS,Cust23591,EU,PD1,29,33,,
2021-10-01,SMALL BUSINESS,Cust23592,NA,PD1,90,103,,
2022-03-01,SMALL BUSINESS,Cust23593,APJ,PD1,15,15,,
2021-03-01,SMALL BUSINESS,Cust23594,APJ,PD1,38,38,,
2021-10-01,SMALL BUSINESS,Cust23596,NA,PD1,36,46,,
2021-03-01,LARGE BUSINESS,Cust10501,NA,PD5,78,110,,
2021-03-01,LARGE BUSINESS,Cust23598,NA,PD1,379.941188,475,,
2021-10-01,SMALL BUSINESS,Cust23599,INDIA,PD4,65.60928,66,,
2021-07-01,SMALL BUSINESS,Cust23600,EU,PD5,19,45,,
2021-11-01,LARGE BUSINESS,Cust9295,UK,PD6,136,194,,
2021-10-01,LARGE BUSINESS,Cust23601,NA,PD6,531,531,,
2021-09-01,Medium Business,Cust23602,NA,PD1,413,486,,
2021-01-01,SMALL BUSINESS,Cust23603,EU,PD4,29,29,,
2021-07-01,SMALL BUSINESS,Cust23607,UK,PD1,61.2,61,,
2021-06-01,Medium Business,Cust23608,APJ,PD6,97.5,98,,
2021-06-01,LARGE BUSINESS,Cust23609,EU,PD1,226.44,319,,
2021-10-01,Medium Business,Cust23611,APJ,PD1,231.9,464,,
2022-01-01,SMALL BUSINESS,Cust23612,EU,PD6,153.9,154,,
2021-05-01,SMALL BUSINESS,Cust23613,EU,PD1,30,60,,
2022-03-01,Medium Business,Cust23616,NA,PD1,441,596,,
2021-09-01,Medium Business,Cust23619,EU,PD1,120.54,165,,
2021-02-01,Medium Business,Cust23621,NA,PD4,276,373,,
2021-06-01,SMALL BUSINESS,Cust23622,INDIA,PD1,38.27664,38,,
2021-07-01,LARGE BUSINESS,Cust23623,APJ,PD1,107.64,135,,
2021-07-01,SMALL BUSINESS,Cust23624,EU,PD1,95,95,,
2021-10-01,SMALL BUSINESS,Cust23625,OTHERS,PD2,83,83,,
2022-03-01,SMALL BUSINESS,Cust23626,UK,PD3,12,14,,
2021-02-01,LARGE BUSINESS,Cust23628,INDIA,PD5,236,236,,
2021-03-01,LARGE BUSINESS,Cust14277,NA,PD1,125,140,,
2021-09-01,SMALL BUSINESS,Cust23631,NA,PD6,1170,1170,,
2021-03-01,Medium Business,Cust4649,NA,PD4,50.15,67,,
2021-04-01,LARGE BUSINESS,Cust23633,NA,PD6,708.5,897,,
2021-09-01,SMALL BUSINESS,Cust23634,NA,PD1,36,36,,
2021-01-01,SMALL BUSINESS,Cust23635,OTHERS,PD1,19,19,,
2022-01-01,LARGE BUSINESS,Cust23638,NA,PD1,207,233,,
2021-02-01,SMALL BUSINESS,Cust23639,UK,PD1,122.4,157,,
2021-02-01,SMALL BUSINESS,Cust20869,EU,PD5,73.8,74,,
2021-04-01,LARGE BUSINESS,Cust23640,NA,PD1,69,80,,
2021-07-01,Medium Business,Cust19200,NA,PD4,124,161,,
2021-08-01,Medium Business,Cust23562,NA,PD4,188,216,,
2021-08-01,SMALL BUSINESS,Cust23641,INDIA,PD1,18,24,,
2021-09-01,SMALL BUSINESS,Cust23642,EU,PD6,122.4,153,,
2022-02-01,SMALL BUSINESS,Cust23643,NA,PD1,126,152,,
2021-12-01,SMALL BUSINESS,Cust23646,NA,PD1,18,25,,
2021-02-01,LARGE BUSINESS,Cust23647,EU,PD1,79,184,,
2021-04-01,LARGE BUSINESS,Cust23648,INDIA,PD6,4444.1,4444,,
2021-06-01,SMALL BUSINESS,Cust23650,NA,PD1,19,23,,
2022-02-01,SMALL BUSINESS,Cust23652,OTHERS,PD2,78.85,99,,
2022-03-01,SMALL BUSINESS,Cust23653,INDIA,PD4,15.4671,20,,
2021-10-01,LARGE BUSINESS,Cust23654,NA,PD1,285,663,,
2022-02-01,SMALL BUSINESS,Cust23655,EU,PD1,35,35,,
2022-03-01,Medium Business,Cust14363,NA,PD1,355,493,,
2022-02-01,Medium Business,Cust23657,OTHERS,PD2,169.4,199,,
2021-12-01,Medium Business,Cust23658,EU,PD1,436.65,567,,
2021-06-01,SMALL BUSINESS,Cust23659,NA,PD1,114,114,,
2021-02-01,SMALL BUSINESS,Cust23662,APJ,PD6,474.3336,624,,
2021-05-01,SMALL BUSINESS,Cust23664,NA,PD1,57,77,,
